Name,Classification,Stat,Tags,Description,Range
Acrobatics,Standard,Physical,"Utility, Movement, Self",Exceptional agility and bodily control. +1 bonus die on balance/climbing/tumbling and allows gap leaping.,Self / Variable
Agility,Standard,Physical,"Combat, Utility, Self",Gain +1 Movement space. Upgrades add extra Major and Minor Action Points.,Self
Aid Ally,Standard,Mental,"Support",Mentally guide an ally. Lowers their required Combat Target (CT) for attacks.,4 squares
Babble Fish,Standard,Social,"Utility",Universally communicate with and understand the spoken language of people and animals.,Hearing distance
Backstab,Standard,Physical,"Combat, Melee",Gain +2 situational bonus dice on Physical melee attacks against unaware or already engaged targets.,Melee
Battlefield Reflexes,Standard,Physical,"Combat",Reaction to a ranged attack: immediately move 1 square to cover before the roll.,Self
Berserker Rage,Standard,Physical,"Combat, Self",Enter a fury to gain +1 attack die and +1 Universal DR but become easier to hit.,Self
Blast,Standard,"Mental, Social","Combat, Ranged, AoE",Ranged energy burst dealing 1 damage per success to a primary target and adjacent units.,Short (4 squares)
Brace for Impact,Standard,Physical,"Combat",Take a defensive stance to counter-attack a charging enemy with a +2 attack die bonus.,Melee
Burrow Mastery,Standard,Physical,"Movement",Burrow underground to become untargetable and unseen.,Self
Charge,Standard,Physical,"Combat, Melee",Move 3 or more squares to gain a +2 situational bonus dice on a Physical melee attack.,Melee
Commanding Voice,Standard,Social,"Utility",Inspire allies (+1 bonus die) or intimidate foes (-1 penalty die).,4 squares
Dark Vision,Standard,Physical,"Self, Utility",Ignore penalties from low light conditions.,Self
Darkness,Standard,Mental,"Utility",Create a 2x2 square zone of supernatural darkness granting +2 CT Defence to those inside.,2x2 zone on Hero
Deadly Precision,Standard,Physical,"Combat",Natural 6s on attack rolls deal +1 bonus Physical damage.,Weapon Range
Death Cultist,Standard,Physical,"Combat, Self",Defy death once per battle. Stand back up with 1 HP and the Shaken condition when reduced to 0 HP.,Self
Diplomat,Standard,Social,"Utility",Gain +1 bonus die for Social checks like negotiation and persuasion.,Self
Disguise Mastery,Standard,Social,"Utility",Subtly shift your presence. Gain +1 dice on Social checks for impersonation or disguise.,Self
Dodge,Standard,Universal,"Combat, Defence",Increases the Combat Target (CT) for incoming attacks by +1.,Self
Driving & Piloting,Standard,Physical,"Utility",Proficiency in vehicles and mounts. Gain +1 bonus die for piloting/driving checks.,Self
Entropy Mastery,Standard,Mental,"Combat, Melee, Ranged",Channel elemental energy for a Physical melee attack with +1 bonus attack die.,Melee
Environmental Mastery,Standard,Physical,"Self",Breathe underwater and ignore all movement penalties from difficult terrain or liquid surfaces.,Self
Fate Weaver,Standard,Social,"Support",Generate Fate Tokens to modify dice rolls or allow rerolls for yourself or allies.,Self / Allies
Fear Itself,Standard,Social,"Combat, AoE",Project an aura of dread that inflicts a -1 die penalty to enemy Morale and Rally checks.,Social Stat + 1 radius
First Aid,Standard,Mental,"Heal",Apply a Heal-over-Time (HoT) effect to an ally and stop ongoing Bleeding or Poison effects.,4 squares
Grapple Mastery,Standard,Physical,"Combat, Melee",Expert grappling. Requires only 1 success to apply the Grappled condition instead of 2.,Melee
Green Thumb,Standard,Mental,"Combat, Utility, Support",Influence plant growth. Entangle and immobilize a target for rounds equal to successes plus one.,4 squares
