DisciplineName,UpgradeName,Description
Acrobatics,Expert Acrobat,Gain an additional +1 bonus die on all Acrobatics-related checks.
Acrobatics,Fluid Motion,Reduce the CT for all Acrobatics-related checks by -1.
Acrobatics,Safe Landing,Reduce all damage taken from falls by an amount equal to your Physical stat.
Acrobatics,Tumble Dodge,Reaction to move 1 square away without provoking an Attack of Opportunity after successful DC check against damage.
Acrobatics,Wall Run,Run along vertical surfaces at the cost of 1 additional square of movement per 2 squares horizontal.
Agility,Agility Level 1,Hero has 1 Major AP and 2 Minor AP.
Agility,Agility Level 2,Hero has 1 Major AP and 3 Minor AP.
Agility,Agility Level 3,Hero has 2 Major AP and 3 Minor AP. Allows a second attack.
Aid Ally,Improved Guidance,Reduce the CT for the activation check by -1.
Aid Ally,Potent Guidance,The CT reduction granted to the aided ally increases by an additional -1.
Aid Ally,Additional Use,Gain +1 additional use of this ability per combat.
Aid Ally,Team Leader,May target +1 additional ally with this ability when activated.
Babble Fish,Emotional Shift,Subtly shift the emotional tone of your communication towards positive or negative.
Babble Fish,Rapport,Gain +1 Bonus Dice on Social interaction DC checks once basic communication is established.
Backstab,Kidney Shot,Gain an additional +1 bonus attack die when Backstabbing.
Backstab,Accuracy,Gain -1 CT on this attack.
Backstab,Quick Thinking,You may change the damage type to either Mental or Social on the fly.
Backstab,Disabling,Target gains Slowed Condition for 1 round (-1 AP).
Backstab,Poisoned,Target gains the Ill Condition for 1 round (+1 CT to all attacks).
Battlefield Reflexes,Return Fire Level 1,Reaction to make a single ranged attack back at your attacker at +1 CT penalty.
Battlefield Reflexes,Dive Further Level 1,Move up to 2 squares instead of 1 when hitting the dirt.
Battlefield Reflexes,Return Fire Level 2,Return Fire reaction no longer suffers the +1 CT penalty.
Battlefield Reflexes,Return Fire Level 3,Return Fire reaction gains +1 attack die.
Battlefield Reflexes,Combat Flow Level 3,Hit the Dirt or Return Fire reactions no longer cost your Major Action on your next turn.
Berserker Rage,Big Mad,Gain +1 extra round of Rage duration.
Berserker Rage,Loose Canon,Gain -1 CT for Rage check.
Berserker Rage,Me Smart,+1 additional Mental DR while raging.
Berserker Rage,Me Tough,+1 additional Physical DR while raging.
Berserker Rage,Me No Stink,+1 additional Social DR while raging.
Blast,Selective Blast,Your blast avoids hitting allies within the splash radius.
Blast,More Blast,Gain +1 additional use of this ability per combat per upgrade.
Blast,Deadlier Blast,Reduce CT required to hit by -1 per upgrade.
Blast,Expanded Blast,Expand the splash radius by 1 square.
Blast,Range Increase,Increase the range limit by +2 squares.
